x, y
-1.2412942783831518, 0.007632177693676647
12.337965277083542, 0.017210695861773782
100.71145323069746, 0.03206956365028948
142.63221033689894, 0.04952355207136582
174.3227031890433, 0.07490707575859971
202.0060648472125, 0.08002072492171837
222.76650338231863, 0.08448108850893199
300.92638875004167, 0.10781464711315357
331.15898563764205, 0.11561803068189498
354.5103135725949, 0.1250794079881057
400.36322436602353, 0.1376224910454822
500.64980505848246, 0.17133202676218154
548.1605518344496, 0.18533035975760853
601.669499150255, 0.20072086684237797
656.7529741077677, 0.21553017503548016
703.6972241660835, 0.2306233245477687
802.3926155486687, 0.26503570543578653
896.1311606518045, 0.29822261269176187
952.5225765603652, 0.32025410556193823
1035.3310673464628, 0.3581221418756054
1096.9875703955481, 0.38713252686355343
1161.1183311673165, 0.4204365749814152
1204.955180112633, 0.4443963866549526
1253.0240927721684, 0.4670361109233854
1316.938251857776, 0.492297988330968
1392.8987970275584, 0.5232096596156879
1491.927421773468, 0.5584780698790296
1563.6892265653637, 0.5842175215696875
1633.3766536705655, 0.6102858687571805
1701.4562297977275, 0.6334707485751616
1776.1588190209604, 0.6589173481111036
1814.6639341530874, 0.6706179180464509
1886.6173481288947, 0.6999346714424095
1948.732047052551, 0.7228582370300286
1998.7420440534506, 0.7431641548962628
