x, y
0.407221625483221, 0.0000019027127889747679
0.41142456852699016, 0.00000684713020389534
0.4167393825628037, 0.000009303974513366866
0.427575869075391, 0.00001219444344967381
0.4455033757578637, 0.000015416614131629553
0.4824050673337452, 0.000022925215073863065
0.547066529482784, 0.00003730797938129473
0.6348955880818749, 0.0000652560606714845
3.0549157525135353, 0.01334524035317484
3.2657713762993543, 0.017809531755161784
3.4822294665480804, 0.02554528561011326
3.665681034283625, 0.03938223530448053
