x, y
-0.62481255623313, 0.007722286048973892
100.13662567896297, 0.032186704512175895
200.68979306208138, 0.07979995945124012
300.418207870972, 0.10759388164267532
399.8966976573695, 0.1381135815818522
501.2329634443, 0.1713230159266518
600.3282348628745, 0.2017571129282963
700.6648005598321, 0.2318533035975761
800.8514112432937, 0.26799125948953617
900.6881268952648, 0.3080173909125724
1000.149955013496, 0.3532427744362596
1101.5445366390084, 0.4063976932261044
1200.9397180845747, 0.46600437025523195
1300.2016061848112, 0.5076794845802077
1402.320970375554, 0.5484399990989165
1501.6411743143724, 0.5848032258791197
1601.427904961845, 0.6271856907931789
1700.2982438601753, 0.6591876731769953
1803.5839248225532, 0.6978216305106891
1903.8288513445966, 0.7424748259782389
1991.4858875670632, 0.7841904890630984
