x, y
7315.630288109783, -0.0005612014883741842
9911.505779097304, 0.0016834760241349258
12507.3722678498, 0.005050470886067267
14985.246462065365, 0.009539825911085487
17345.12836174402, 0.012906820773017828
19941.00385273154, 0.018518493147459278
22300.88575241017, 0.023569006847189034
25014.744535699592, 0.030302996571053793
27610.620026687113, 0.03759818778329266
30088.494220902685, 0.04264870148302242
32330.383826044406, 0.04938269120688718
34926.250314796904, 0.05780019976854935
37286.132214475554, 0.06509539098078822
40000, 0.0735128995424504
42595.866488752494, 0.08193040810411258
44955.748388431144, 0.08978675799106305
47315.63028810977, 0.09820426655272523
50147.490368171144, 0.10774409246381063
52153.38638200399, 0.11616160102547281
55103.24775883733, 0.1268237870996441
57345.128361744006, 0.13692477168544112
59940.99485049651, 0.1475869577596124
62536.87934371907, 0.1582491438337837
65014.744535699596, 0.16947248858266659
67492.6277321502, 0.18125699200626108
70206.49551767464, 0.19191917808043232
72330.37482380938, 0.20370368150402685
74808.25802025998, 0.21604938641599553
77404.12450901246, 0.22895622859584455
79999.99099776494, 0.24130189069415078
82595.8754909875, 0.2553310716302543
85191.74197974, 0.2682379352169347
87315.63929034478, 0.2805835973152408
90029.48907139919, 0.29461277825134446
92507.37226784979, 0.3086419591874481
94985.25546430038, 0.32210998144884
97227.13606720707, 0.33389448487243456
100058.9871450334, 0.3496071846463356
102418.86904471205, 0.36139168806993005
105014.75353793461, 0.3759820276807453
107374.63543761324, 0.3883277111858828
110088.48521866763, 0.40291806150011367
112566.36841511822, 0.4141414062489966
115044.25161156882, 0.4259259203760067
117404.13351124749, 0.43771041309618564
120117.98329230188, 0.45005610730473866
